event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint
10,SVC-0013,service_account,2026-06-01 00:22:27.223,164.215.28.54,"Bengaluru, IN",it/email,api_key,57.238,connect;query;read;write;disconnect,os=Debian-12;fw=NA;mac=23:FC:A7:2D:72:EA;proto=AMQP
11,USR-0010,user,2026-06-01 00:23:48.489,210.57.203.186,"Bengaluru, IN",it/vpn,mfa,1302.451,,os=Windows-10;fw=NA;mac=88:0B:4C:6F:F8:FE;proto=RDP
12,DEV-0005,edge_device,2026-06-01 00:25:14.329,170.40.218.51,"Chennai, IN",ot/plc-gateway-1,psk,31.364,handshake;poll;read,os=RTLinux-4.4;fw=3.1.6;mac=11:EA:DF:91:B5:65;proto=MQTT
13,DEV-0006,edge_device,2026-06-01 00:26:43.656,143.248.75.145,"Delhi, IN",ot/historian,psk,53.879,handshake;poll;report;sleep,os=Yocto-3.1;fw=1.6.7;mac=B5:8A:D4:20:F9:9E;proto=Modbus
14,DEV-0012,edge_device,2026-06-01 00:26:45.101,134.235.9.233,"Hyderabad, IN",ot/historian,cert,62.147,handshake;poll;read;sleep,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
15,SVC-0018,service_account,2026-06-01 00:27:33.464,206.45.196.230,"Houston, US",code/repo,api_key,227.695,connect;auth;read;write;export;disconnect,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
16,DEV-0000,edge_device,2026-06-01 00:32:03.650,221.175.156.121,"Bengaluru, IN",ot/plc-gateway-1,cert,12.638,handshake;poll;read;report,os=Yocto-3.1;fw=3.7.7;mac=30:EE:98:F6:E0:94;proto=DNP3
17,SVC-0014,service_account,2026-06-01 00:32:28.161,198.130.0.177,"Tokyo, JP",ot/scada-hmi,api_key,32.376,connect;auth;query;read;write;disconnect,os=Ubuntu-22.04;fw=NA;mac=BE:8D:62:D4:5E:B5;proto=gRPC
18,DEV-0004,edge_device,2026-06-01 00:32:46.039,147.186.129.57,"Hyderabad, IN",ot/firmware-repo,cert,56.014,handshake;poll;read;report,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
19,DEV-0000,edge_device,2026-06-01 00:33:48.588,221.175.156.121,"Bengaluru, IN",ot/historian,cert,10.877,poll;read;report,os=Yocto-3.1;fw=3.7.7;mac=30:EE:98:F6:E0:94;proto=DNP3
20,SVC-0019,service_account,2026-06-01 00:35:45.587,186.248.224.21,"Berlin, DE",ot/plc-gateway-1,cert,211.114,auth;query;read;write;export;disconnect,os=RHEL-9;fw=NA;mac=52:77:F2:16:93:EA;proto=HTTPS
21,DEV-0010,edge_device,2026-06-01 00:38:10.943,149.66.134.209,"Bengaluru, IN",ot/scada-hmi,psk,2.245,handshake;read;report,os=QNX-7.0;fw=1.3.3;mac=F2:D9:60:53:C5:1F;proto=MQTT
22,SVC-0014,service_account,2026-06-01 00:38:32.485,198.130.0.177,"Tokyo, JP",it/wiki,api_key,95.148,connect;auth;query;write;export,os=Ubuntu-22.04;fw=NA;mac=BE:8D:62:D4:5E:B5;proto=gRPC
23,DEV-0000,edge_device,2026-06-01 00:40:50.863,221.175.156.121,"Bengaluru, IN",ot/historian,cert,1.0,poll;read;report;sleep,os=Yocto-3.1;fw=3.7.7;mac=30:EE:98:F6:E0:94;proto=DNP3
24,DEV-0011,edge_device,2026-06-01 00:42:49.487,163.248.126.54,"Bengaluru, IN",ot/plc-gateway-2,psk,29.23,handshake;poll;sleep,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
25,SVC-0011,service_account,2026-06-01 00:43:18.792,2.70.113.58,"London, GB",ot/scada-hmi,cert,261.635,connect;auth;write;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
26,SVC-0018,service_account,2026-06-01 00:44:03.080,206.45.196.230,"Houston, US",ot/edge-broker,api_key,207.175,connect;auth;query,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
27,SVC-0018,service_account,2026-06-01 00:45:06.977,206.45.196.230,"Houston, US",auth/login,api_key,0.0,,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
28,SVC-0014,service_account,2026-06-01 00:45:22.327,198.130.0.177,"Tokyo, JP",it/wiki,api_key,1.0,connect;query;write,os=Ubuntu-22.04;fw=NA;mac=BE:8D:62:D4:5E:B5;proto=gRPC
29,DEV-0013,edge_device,2026-06-01 00:47:10.259,167.135.242.66,"Bengaluru, IN",ot/rtu-substation,psk,24.008,handshake;poll;read,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
30,DEV-0009,edge_device,2026-06-01 00:47:21.048,8.181.77.55,"Hyderabad, IN",ot/plc-gateway-2,psk,48.517,handshake;poll;read;report,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
31,SVC-0011,service_account,2026-06-01 00:51:12.251,2.70.113.58,"London, GB",ot/plc-gateway-2,cert,218.83,connect;query;read;write;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
32,DEV-0012,edge_device,2026-06-01 00:52:21.767,134.235.9.233,"Hyderabad, IN",ot/plc-gateway-2,cert,73.642,handshake;poll;report;sleep,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
33,DEV-0009,edge_device,2026-06-01 00:52:52.236,8.181.77.55,"Hyderabad, IN",ot/plc-gateway-1,psk,45.391,handshake;poll;read;report,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
34,DEV-0012,edge_device,2026-06-01 00:53:46.183,134.235.9.233,"Hyderabad, IN",ot/historian,cert,54.85,handshake;read;report,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
35,DEV-0012,edge_device,2026-06-01 00:53:55.092,134.235.9.233,"Hyderabad, IN",ot/historian,cert,79.257,handshake;read;report,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
36,DEV-0004,edge_device,2026-06-01 00:54:44.864,147.186.129.57,"Hyderabad, IN",ot/plc-gateway-2,cert,56.804,handshake;read;report,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
37,SVC-0011,service_account,2026-06-01 00:54:55.243,2.70.113.58,"London, GB",ot/scada-hmi,cert,212.171,connect;auth;query;read;write;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
38,USR-0025,user,2026-06-01 00:55:15.509,157.244.135.128,"Mumbai, IN",fileshare/finance,password,210.461,sudo;systemctl_status,os=Windows-10;fw=NA;mac=D8:B2:D1:D6:72:0A;proto=SSH
39,SVC-0003,service_account,2026-06-01 00:57:20.521,204.167.230.234,"Houston, US",ot/edge-broker,cert,179.271,connect;auth;query;read;write;export,os=RHEL-9;fw=NA;mac=41:4E:A0:10:52:B7;proto=AMQP
40,SVC-0011,service_account,2026-06-01 00:57:31.239,2.70.113.58,"London, GB",db/customers,cert,233.919,connect;auth;query;read;write;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
41,SVC-0016,service_account,2026-06-01 00:57:36.201,212.76.28.225,"Hyderabad, IN",code/repo,cert,34.252,connect;auth;query;read;write;export;disconnect,os=Debian-12;fw=NA;mac=D6:E3:18:78:D4:79;proto=HTTPS
42,DEV-0010,edge_device,2026-06-01 00:57:51.772,149.66.134.209,"Bengaluru, IN",ot/rtu-substation,psk,11.202,handshake;read;report,os=QNX-7.0;fw=1.3.3;mac=F2:D9:60:53:C5:1F;proto=MQTT
43,SVC-0000,service_account,2026-06-01 00:58:17.605,68.89.120.132,"Pune, IN",db/customers,api_key,67.754,auth;read;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
44,SVC-0011,service_account,2026-06-01 00:58:40.727,2.70.113.58,"London, GB",db/customers,cert,228.37,connect;write;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
45,DEV-0011,edge_device,2026-06-01 00:59:09.325,163.248.126.54,"Bengaluru, IN",ot/plc-gateway-2,psk,45.168,handshake;poll;read;report,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
46,DEV-0009,edge_device,2026-06-01 01:00:09.416,8.181.77.55,"Hyderabad, IN",fileshare/finance,psk,15.885,connect;read;compress;scp_out;curl_ext,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
47,SVC-0003,service_account,2026-06-01 01:00:59.445,204.167.230.234,"Houston, US",ot/firmware-repo,cert,191.847,connect;auth;query;read,os=RHEL-9;fw=NA;mac=41:4E:A0:10:52:B7;proto=AMQP
48,SVC-0005,service_account,2026-06-01 01:01:57.879,148.27.150.166,"Phoenix, US",auth/login,api_key,0.0,,os=RHEL-9;fw=NA;mac=74:B3:3D:9B:A5:A2;proto=gRPC
49,SVC-0019,service_account,2026-06-01 01:02:47.553,186.248.224.21,"Berlin, DE",it/vpn,cert,127.255,connect;auth;query,os=RHEL-9;fw=NA;mac=52:77:F2:16:93:EA;proto=HTTPS
50,SVC-0019,service_account,2026-06-01 01:03:33.707,186.248.224.21,"Berlin, DE",ot/scada-hmi,cert,85.46,connect;auth;query;write,os=RHEL-9;fw=NA;mac=52:77:F2:16:93:EA;proto=HTTPS
51,DEV-0010,edge_device,2026-06-01 01:03:59.271,149.66.134.209,"Bengaluru, IN",ot/rtu-substation,psk,14.7,handshake;read;report,os=QNX-7.0;fw=1.3.3;mac=F2:D9:60:53:C5:1F;proto=MQTT
52,DEV-0013,edge_device,2026-06-01 01:04:13.553,167.135.242.66,"Bengaluru, IN",ot/rtu-substation,psk,14.928,poll;read;report,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
53,DEV-0014,edge_device,2026-06-01 01:04:49.440,93.117.155.181,"Hyderabad, IN",ot/edge-broker,psk,16.286,handshake;poll;read,os=VxWorks-7;fw=3.3.4;mac=BC:7D:75:88:37:99;proto=Modbus
54,SVC-0018,service_account,2026-06-01 01:04:52.095,206.45.196.230,"Houston, US",ot/edge-broker,api_key,209.18,connect;auth;query,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
55,DEV-0011,edge_device,2026-06-01 01:05:05.261,163.248.126.54,"Bengaluru, IN",ot/scada-hmi,psk,19.196,handshake;poll;read,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
56,DEV-0009,edge_device,2026-06-01 01:05:15.498,8.181.77.55,"Hyderabad, IN",ot/plc-gateway-1,psk,53.35,handshake;poll;report,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
57,DEV-0004,edge_device,2026-06-01 01:05:20.925,147.186.129.57,"Hyderabad, IN",ot/firmware-repo,cert,56.0,handshake;poll;read;report;sleep,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
58,DEV-0005,edge_device,2026-06-01 01:06:56.465,170.40.218.51,"Chennai, IN",ot/plc-gateway-1,psk,17.16,poll;read;sleep,os=RTLinux-4.4;fw=3.1.6;mac=11:EA:DF:91:B5:65;proto=MQTT
59,USR-0049,user,2026-06-01 01:07:02.080,221.128.13.236,"Bengaluru, IN",it/wiki,mfa,799.616,,os=macOS-14;fw=NA;mac=A8:65:28:AE:78:26;proto=SSH
60,DEV-0011,edge_device,2026-06-01 01:07:05.911,163.248.126.54,"Bengaluru, IN",ot/plc-gateway-2,psk,47.072,poll;report;sleep,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
61,SVC-0001,service_account,2026-06-01 01:07:59.270,192.243.174.234,"Pune, IN",ot/firmware-repo,api_key,82.945,connect;auth;read,os=RHEL-9;fw=NA;mac=A5:67:57:B2:68:76;proto=HTTPS
62,SVC-0022,service_account,2026-06-01 01:08:12.143,49.181.32.252,"Singapore, SG",fileshare/finance,cert,467.331,auth;query;read;write,os=Debian-12;fw=NA;mac=DC:36:C7:90:C2:C1;proto=gRPC
63,SVC-0018,service_account,2026-06-01 01:09:07.583,206.45.196.230,"Houston, US",ot/rtu-substation,api_key,203.246,query;read;write;export,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
64,SVC-0019,service_account,2026-06-01 01:09:34.490,186.248.224.21,"Berlin, DE",it/vpn,cert,3.287,connect;auth;read;export;disconnect,os=RHEL-9;fw=NA;mac=52:77:F2:16:93:EA;proto=HTTPS
65,SVC-0013,service_account,2026-06-01 01:09:51.438,164.215.28.54,"Bengaluru, IN",ot/historian,api_key,248.857,connect;auth;query;read;disconnect,os=Debian-12;fw=NA;mac=23:FC:A7:2D:72:EA;proto=AMQP
66,DEV-0006,edge_device,2026-06-01 01:11:02.560,143.248.75.145,"Delhi, IN",ot/historian,psk,56.456,poll;read;report;sleep,os=Yocto-3.1;fw=1.6.7;mac=B5:8A:D4:20:F9:9E;proto=Modbus
67,SVC-0001,service_account,2026-06-01 01:11:27.983,192.243.174.234,"Pune, IN",cloud/s3-backups,api_key,53.903,connect;auth;query;read;export,os=RHEL-9;fw=NA;mac=A5:67:57:B2:68:76;proto=HTTPS
68,SVC-0023,service_account,2026-06-01 01:12:01.046,72.95.89.104,"Houston, US",it/email,cert,7.337,connect;auth;query;read;write,os=RHEL-9;fw=NA;mac=01:9D:09:EF:AE:E9;proto=AMQP
69,DEV-0011,edge_device,2026-06-01 01:13:06.135,163.248.126.54,"Hyderabad, IN",ot/scada-hmi,psk,29.678,handshake;poll;report;sleep,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
70,DEV-0011,edge_device,2026-06-01 01:13:57.891,163.248.126.54,"Bengaluru, IN",ot/edge-broker,psk,36.793,handshake;poll;read;report;sleep,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
71,USR-0051,user,2026-06-01 01:14:27.285,35.85.94.216,"Delhi, IN",code/repo,password,857.03,,os=Windows-11;fw=NA;mac=D2:9D:EC:AC:98:9F;proto=SSH
72,DEV-0013,edge_device,2026-06-01 01:16:26.213,167.135.242.66,"Bengaluru, IN",ot/scada-hmi,psk,20.189,handshake;poll;read;sleep,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
73,DEV-0004,edge_device,2026-06-01 01:16:38.545,147.186.129.57,"Hyderabad, IN",ot/plc-gateway-2,cert,60.429,handshake;poll;read;sleep,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
74,SVC-0022,service_account,2026-06-01 01:16:43.137,49.181.32.252,"Singapore, SG",db/customers,cert,285.109,connect;auth;query;read;export;disconnect,os=Debian-12;fw=NA;mac=DC:36:C7:90:C2:C1;proto=gRPC
75,DEV-0011,edge_device,2026-06-01 01:16:47.636,163.248.126.54,"Bengaluru, IN",ot/plc-gateway-2,psk,22.854,handshake;poll;report,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
76,DEV-0006,edge_device,2026-06-01 01:17:04.315,143.248.75.145,"Delhi, IN",ot/historian,psk,59.17,handshake;poll,os=Yocto-3.1;fw=1.6.7;mac=B5:8A:D4:20:F9:9E;proto=Modbus
77,DEV-0000,edge_device,2026-06-01 01:18:05.781,221.175.156.121,"Bengaluru, IN",ot/historian,cert,11.082,handshake;poll;read;report,os=Yocto-3.1;fw=3.7.7;mac=30:EE:98:F6:E0:94;proto=DNP3
78,SVC-0003,service_account,2026-06-01 01:18:27.354,204.167.230.234,"New York, US",ot/edge-broker,cert,155.063,connect;auth;query;read,os=RHEL-9;fw=NA;mac=41:4E:A0:10:52:B7;proto=AMQP
79,DEV-0014,edge_device,2026-06-01 01:18:44.827,93.117.155.181,"Hyderabad, IN",ot/edge-broker,psk,14.682,handshake;read;report,os=VxWorks-7;fw=3.3.4;mac=BC:7D:75:88:37:99;proto=Modbus
80,DEV-0001,edge_device,2026-06-01 01:19:50.610,210.104.101.204,"Bengaluru, IN",auth/login,cert,0.0,,os=QNX-7.0;fw=3.3.1;mac=20:1E:E1:CB:38:D6;proto=OPC-UA
81,DEV-0001,edge_device,2026-06-01 01:20:09.483,210.104.101.204,"Bengaluru, IN",ot/historian,cert,41.1,handshake;poll;read;report,os=QNX-7.0;fw=3.3.1;mac=20:1E:E1:CB:38:D6;proto=OPC-UA
82,SVC-0001,service_account,2026-06-01 01:21:19.368,192.243.174.234,"Pune, IN",ot/plc-gateway-1,api_key,93.871,connect;auth;query;read;write,os=RHEL-9;fw=NA;mac=A5:67:57:B2:68:76;proto=HTTPS
83,DEV-0013,edge_device,2026-06-01 01:23:34.868,167.135.242.66,"Bengaluru, IN",ot/rtu-substation,psk,8.479,handshake;poll;read;report;sleep,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
84,DEV-0009,edge_device,2026-06-01 01:24:17.994,8.181.77.55,"Hyderabad, IN",ot/plc-gateway-1,psk,30.356,handshake;poll;read;report,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
85,DEV-0011,edge_device,2026-06-01 01:24:27.415,163.248.126.54,"Bengaluru, IN",ot/edge-broker,psk,35.685,handshake;poll;read;report,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
86,DEV-0012,edge_device,2026-06-01 01:25:53.219,134.235.9.233,"Hyderabad, IN",ot/plc-gateway-2,cert,54.722,handshake;poll;read,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
87,SVC-0000,service_account,2026-06-01 01:27:32.705,68.89.120.132,"Pune, IN",db/customers,api_key,71.946,connect;auth;query;read;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
88,SVC-0011,service_account,2026-06-01 01:27:42.833,2.70.113.58,"London, GB",db/customers,cert,266.747,connect;auth;query;read;export;disconnect,os=Ubuntu-22.04;fw=NA;mac=25:10:DC:44:D2:8D;proto=HTTPS
89,DEV-0003,edge_device,2026-06-01 01:28:33.597,180.189.47.46,"Hyderabad, IN",ot/plc-gateway-2,psk,49.894,handshake;poll;read;sleep,os=Yocto-3.1;fw=2.8.1;mac=39:CF:6A:F9:3E:14;proto=OPC-UA
90,SVC-0006,service_account,2026-06-01 01:28:47.253,106.24.19.210,"Houston, US",ot/plc-gateway-1,cert,71.53,auth;read;export,os=Ubuntu-22.04;fw=NA;mac=74:CC:22:D6:3C:23;proto=gRPC
91,SVC-0007,service_account,2026-06-01 01:32:56.697,201.212.50.173,"Delhi, IN",ot/plc-gateway-1,api_key,249.601,connect;auth;read;write;export;disconnect,os=RHEL-9;fw=NA;mac=EE:4A:FB:A1:11:F0;proto=AMQP
92,SVC-0003,service_account,2026-06-01 01:33:28.360,204.167.230.234,"Houston, US",ot/rtu-substation,cert,126.588,connect;auth;query;read;write,os=RHEL-9;fw=NA;mac=41:4E:A0:10:52:B7;proto=AMQP
93,SVC-0016,service_account,2026-06-01 01:34:23.482,212.76.28.225,"Hyderabad, IN",it/email,cert,39.574,connect;auth;query;read;write;export,os=Debian-12;fw=NA;mac=D6:E3:18:78:D4:79;proto=HTTPS
94,DEV-0013,edge_device,2026-06-01 01:34:56.505,167.135.242.66,"Bengaluru, IN",ot/scada-hmi,psk,19.538,handshake;poll;read,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
95,SVC-0023,service_account,2026-06-01 01:35:15.625,72.95.89.104,"Houston, US",ot/edge-broker,cert,1.0,connect;auth;query;read;write,os=RHEL-9;fw=NA;mac=01:9D:09:EF:AE:E9;proto=AMQP
96,SVC-0000,service_account,2026-06-01 01:38:50.234,68.89.120.132,"Pune, IN",fileshare/finance,api_key,173.544,connect;auth;query;read;write;export,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
97,SVC-0007,service_account,2026-06-01 01:38:53.164,201.212.50.173,"Delhi, IN",it/wiki,api_key,197.861,connect;auth;query;write;export;disconnect,os=RHEL-9;fw=NA;mac=EE:4A:FB:A1:11:F0;proto=AMQP
98,SVC-0001,service_account,2026-06-01 01:42:38.541,192.243.174.234,"Pune, IN",ot/firmware-repo,api_key,34.28,connect;auth;query;write;export;disconnect,os=RHEL-9;fw=NA;mac=A5:67:57:B2:68:76;proto=HTTPS
99,DEV-0004,edge_device,2026-06-01 01:42:52.549,147.186.129.57,"Hyderabad, IN",ot/plc-gateway-2,cert,54.011,poll;report,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
100,DEV-0007,edge_device,2026-06-01 01:43:13.753,221.1.11.39,"Bengaluru, IN",ot/firmware-repo,cert,9.663,handshake;poll;read;report,os=RTLinux-4.4;fw=2.6.6;mac=74:74:DC:62:47:5C;proto=OPC-UA
101,SVC-0014,service_account,2026-06-01 01:43:52.441,198.130.0.177,"Tokyo, JP",ot/scada-hmi,api_key,44.958,connect;auth;query;read;write,os=Ubuntu-22.04;fw=NA;mac=BE:8D:62:D4:5E:B5;proto=gRPC
102,DEV-0007,edge_device,2026-06-01 01:44:16.543,221.1.11.39,"Bengaluru, IN",ot/plc-gateway-1,cert,5.572,handshake;poll;sleep,os=RTLinux-4.4;fw=2.6.6;mac=74:74:DC:62:47:5C;proto=OPC-UA
103,DEV-0009,edge_device,2026-06-01 01:48:06.267,8.181.77.55,"Hyderabad, IN",ot/plc-gateway-1,psk,38.011,handshake;poll;read,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
104,SVC-0023,service_account,2026-06-01 01:48:15.079,72.95.89.104,"Houston, US",ot/edge-broker,cert,77.689,connect;auth;query;read,os=RHEL-9;fw=NA;mac=01:9D:09:EF:AE:E9;proto=AMQP
105,SVC-0000,service_account,2026-06-01 01:48:32.001,68.89.120.132,"Pune, IN",it/email,api_key,61.35,connect;auth;query;read;write;export,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
106,DEV-0013,edge_device,2026-06-01 01:49:27.471,167.135.242.66,"Bengaluru, IN",ot/rtu-substation,psk,1.0,handshake;poll;read;report,os=RTLinux-4.4;fw=3.5.6;mac=E7:6D:74:A3:31:DB;proto=DNP3
107,SVC-0003,service_account,2026-06-01 01:53:46.375,204.167.230.234,"Houston, US",cloud/s3-backups,cert,164.09,connect;query;write;export,os=RHEL-9;fw=NA;mac=41:4E:A0:10:52:B7;proto=AMQP
108,DEV-0014,edge_device,2026-06-01 01:54:19.230,93.117.155.181,"Hyderabad, IN",auth/login,psk,0.0,,os=VxWorks-7;fw=3.3.4;mac=BC:7D:75:88:37:99;proto=Modbus
109,DEV-0001,edge_device,2026-06-01 01:55:26.239,210.104.101.204,"Bengaluru, IN",ot/edge-broker,cert,21.055,handshake;poll;read;sleep,os=QNX-7.0;fw=3.3.1;mac=20:1E:E1:CB:38:D6;proto=OPC-UA
110,DEV-0011,edge_device,2026-06-01 01:55:39.051,163.248.126.54,"Bengaluru, IN",ot/plc-gateway-2,psk,26.726,handshake;poll;read;report,os=VxWorks-7;fw=3.1.6;mac=C3:30:D2:1B:96:7F;proto=DNP3
111,DEV-0004,edge_device,2026-06-01 01:57:01.094,147.186.129.57,"Hyderabad, IN",ot/firmware-repo,cert,54.391,read;sleep,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
112,SVC-0023,service_account,2026-06-01 01:57:05.324,72.95.89.104,"Houston, US",ot/rtu-substation,cert,102.196,auth;query;read,os=RHEL-9;fw=NA;mac=01:9D:09:EF:AE:E9;proto=AMQP
113,SVC-0014,service_account,2026-06-01 01:57:32.729,198.130.0.177,"Tokyo, JP",fileshare/finance,api_key,51.126,connect;auth;query;read,os=Ubuntu-22.04;fw=NA;mac=BE:8D:62:D4:5E:B5;proto=gRPC
114,SVC-0018,service_account,2026-06-01 01:59:07.280,206.45.196.230,"Houston, US",db/customers,api_key,188.516,connect;auth;query;read;write;export;disconnect,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
115,SVC-0006,service_account,2026-06-01 01:59:37.907,106.24.19.210,"Houston, US",ot/historian,cert,114.189,connect;auth;write;export,os=Ubuntu-22.04;fw=NA;mac=74:CC:22:D6:3C:23;proto=gRPC
116,DEV-0009,edge_device,2026-06-01 02:02:35.281,8.181.77.55,"Hyderabad, IN",ot/historian,psk,11.567,connect;read;compress;scp_out;curl_ext;dns_tunnel;disconnect,os=Yocto-3.1;fw=1.1.1;mac=5D:E9:42:89:A8:A0;proto=MQTT
